,resto name,mark,location
163,La Caravane,4,"Sofitel Agadir Royal Bay Resort, Agadir, Souss-Massa, Morocco"
164,Oasis Afriquia Cafe Restaurant,4,"Km 1 Route Agadir, Tiznit, Souss-Massa, Morocco"
165,R'bati,4,"11 Rue Lligh, Agadir, Souss-Massa, Morocco"
166,Krystal Restaurant,4,"Chemin des Dunes, Agadir, Souss-Massa, Morocco"
167,Mini Pecheur,4,"57 Rue Essouaria, Agadir, Souss-Massa, Morocco"
168,Le Petit Quai,4,"3-4 Av Moulay Youssef Cite Nahda, Agadir, Souss-Massa, Morocco"
169,La Grillardiere,4,"Route de Casablanca, El Jadida, Casablanca-Settat, Morocco"
170,Les arcades,3,"Sur La Place Assarag, Taroudant, Souss-Massa, Morocco"
171,Pizza Hut - Agdal,2.5,"Avenue de France, Rabat, Rabat-Sale-Kenitra, Morocco"
172,Marrakech Moroccan Restaurant,3.5,"Agadir, Souss-Massa, Morocco"
173,Bab Marrakesh,3.5,"Rue de Massa, Agadir, Souss-Massa, Morocco"
174,Cafe Restaurant Tagudalt,3,"N9, Ouarzazate, Draa-Tafilalet, Morocco"
175,Coffeeshop Company,3.5,"9 Rue Ibnou Babek Quartier Racine, Casablanca, Casablanca-Settat, Morocco"
176,Fine Burger Talborjt,3.5,"86 Avenue President Kennedy, Agadir, Souss-Massa, Morocco"
177,Agadir - Kleopatra,2.5,"Hlavna 22, Kosice, Kosice Region, Slovakia"
178,Marrakech Cafe Moroccan & Mediterranean,4,"305 Evans Bay Parade, Wellington, Greater Wellington, North Island, New Zealand"
179,Cafe Restaurant Jnan Soussia,4,"Rocade Taroudant, Taroudant, Souss-Massa, Morocco"
180,Levant Restaurant,4,"76 Jason Court Southey Road, London, England, United Kingdom"
181,Simane,4.5,"Rue de la foire 3, Agadir, Souss-Massa, Morocco"
182,Surf N Turf Cafe,5,"Tamraght Main Street, Tamraght, Agadir , Maroc, Tamraght, Agadir, Souss-Massa, Morocco"
183,Eat Juice,5,"2 n_ 6, Agadir, Souss-Massa, Morocco"
184,Restaurant ismail,5,"Boulevar 20 Aout, Agadir, Souss-Massa, Morocco"
185,El Toro Bar and Restaurant,4,"El Toro, Calvia, Majorca, Balearic Islands, Spain"
186,Restaurant Etoile D'agadir,4,"Tafraout, Tafraoute, Souss-Massa, Morocco"
187,O pasta,4,"Marina d'agadir, Agadir, Souss-Massa, Morocco"
188,Taj Mahal,4,"Hotel Atlantic Palace, Agadir, Souss-Massa, Morocco"
189,Be Wok,3.5,"Boulevard Mohammed cheikh Saadi, Agadir, Souss-Massa, Morocco"
190,La Table,2.5,"Av Abderrahim Bouabid, Agadir, Souss-Massa, Morocco"
191,Adam’s Cafe,4.5,"Tamraght, Agadir, Souss-Massa, Morocco"
192,Pespada,4.5,"Boulvard Hj Masaoud El Wafkaoui Essalam, Agadir, Souss-Massa, Morocco"
193,Dar Chouaya,4.5,"av.2 Mars, Agadir, Souss-Massa, Morocco"
194,Canada Coffee,5,"204 Rue Tripoli, Impasse, Agadir, Souss-Massa, Morocco"
195,Jow Cafe-Snack,5,"Agadir, Souss-Massa, Morocco"
196,Yuzaki,4.5,"Avenue Houssine Achengly, Founty, Agadir, Souss-Massa, Morocco"
197,La Tuniserie,5,"No 103 Rue Med El Fassi, Agadir, Souss-Massa, Morocco"
198,Dar D'jaj,4.5,"Ave du 29 Fevrier, Agadir, Souss-Massa, Morocco"
199,Chowayat Annahda,4.5,"Avenue Moulay Youssef, Agadir, Souss-Massa, Morocco"
200,Snapy,4.5,"85 Avenue Mohammed El Fassi, Hay Essalam, Agadir, Souss-Massa, Morocco"
201,Istanbul Antochia Baklawa,5,"Rue Tawada, Agadir, Souss-Massa, Morocco"
202,La Liste Patisserie Boulangerie Cafe Restaurant,5,"Hay Mohammedi, Agadir, Souss-Massa, Morocco"
203,Le Riad des 3 Soeurs Restaurant,5,"Tamraght, Agadir, Souss-Massa, Morocco"
204,Restaurant Daffy,4.5,"2 Rue Des Orangers, Agadir, Souss-Massa, Morocco"
205,La Marrakech Gris,5,"Avenue 29 Fevrier, Agadir, Souss-Massa, Morocco"
206,La Cremerie,5,"Av 20 Out, Agadir, Souss-Massa, Morocco"
207,Almanara Restaurante,4.5,"Rua Treze de Maio 1947, Sao Paulo, State of Sao Paulo, Brazil"
208,Le Restaurant Les Cousines d'Afoulki,4.5,"33, Rue d'Agadir, Essaouira, Marrakech-Safi, Morocco"
209,RESTAURANT ENNAHDA,4.5,"Avenue Mohammed V, Zagora, Souss-Massa, Morocco"
210,Espace Asrir,4.5,"133 Reu idAli Bouyighd, Tiznit, Souss-Massa, Morocco"
211,Les Tajines Bleus,5,"Douar takourout, IDA OU GUELLOUL, Essaouira, Marrakech-Safi, Morocco"
212,La Veranda,4,"15/18 Imm. Oumlil Av Avenue Hassan II, Agadir, Souss-Massa, Morocco"
213,L'Atelier,4,"Avenue Hassan II, Agadir, Souss-Massa, Morocco"
214,restaurant les Arcades,4,"avenue du president Kennedy, Agadir, Souss-Massa, Morocco"
215,Sodivas,4,"Route de Marrakech, Agadir, Souss-Massa, Morocco"
216,Chez Imim,4,"Rue President Kennedy, Agadir, Souss-Massa, Morocco"
217,Millionnaire’s Club,3.5,"688/193 Phosri Road, Agadir, Souss-Massa, Morocco"
218,La Baraka,3.5,"58 Rue Khalid Bnou Lwalid Cite Dakhla, Agadir, Souss-Massa, Morocco"
219,Restaurant Marrakech,3.5,"Chemin Des Dunes, Agadir, Souss-Massa, Morocco"
220,Tropicana,3.5,"57 Rue Essaouira, Agadir, Souss-Massa, Morocco"
221,Il Mare,3,"Chemin Des Dunes, Agadir, Souss-Massa, Morocco"
222,Fishitto Restaurant bar Lounge,3,"20 Aout, Agadir, Souss-Massa, Morocco"
223,Sam'cake,3,"No 105 Imm Ennour, Avenue Hassan 1er, Agadir 80000, Agadir, Souss-Massa, Morocco"
224,Frank's Burgers,3.5,"81 Avenue Mohamed El Fassi, Cite Essalam, Agadir, Souss-Massa, Morocco"
225,Rastapasta,2.5,"Tagazout, Agadir, Souss-Massa, Morocco"
226,La Santal,3,"Chemin Des Dunes, Agadir, Souss-Massa, Morocco"
227,McDonald's,3.5,"Route d_Inezgane, Agadir, Souss-Massa, Morocco"
228,Pizza & Pasta Soulaymane,3.5,"Rue Essaouira, Agadir, Souss-Massa, Morocco"
229,Restaurant Les Dinosaures,3.5,"Agadir, Souss-Massa, Morocco"
230,BBB Burger Rishon LeTsiyon,4,"Rehov Moshe Becker 9, Rishon Lezion, Central District, Israel"
231,Restaurant Alhambra,4,"Avenida Habaneras n 56, Torrevieja, Costa Blanca, Province of Alicante, Valencian Community, Spain"
232,Capitol City Grill,4,"3301 Market St NE, Salem, Oregon"
233,Kazi,3.5,"No. 121, Sec. 3, Changrong Rd., East Dist, East District, Tainan, Taiwan"
234,Auberge le Safran,3.5,"Taliouine, Souss-Massa, Morocco"
235,Tajine Aourir,3.5,"Route d'essaouira, Aourir, Souss-Massa, Morocco"
236,Yours Cafe Patisserie,3.5,"5 Av Med, Kenitra, Rabat-Sale-Kenitra, Morocco"
237,Coffeeshop Company,2.5,"Angle Ave Annakhil and Rue El Yazidi, Hay Riad, Rabat, Rabat-Sale-Kenitra, Morocco"
238,Auberge d'Agadir,4,"38 rue aux Fleurs, Voisins-le-Bretonneux, Saint-Quentin-en-Yvelines, Yvelines, Ile-de-France, France"
239,Agadir,3.5,"14 rue du Palais Gallien, Bordeaux, Gironde, Nouvelle-Aquitaine, France"
240,Sud Agadir,4.5,"11 B avenue Charles de Gaulle, Savigny-Sur-Orge, Essonne, Ile-de-France, France"
241,Le Palais d'Agadir,4,"158 boulevard Jean Allemane, Argenteuil, Val-d'Oise, Ile-de-France, France"
242,La Pyramide agadir,4,"Boulevard El Hamra, Agadir, Souss-Massa, Morocco"
243,Saveurs D'Agadir,4,"34 rue de Verdun, Lorgues, Var, Provence-Alpes-Cote d'Azur, France"
244,Le Port d'Agadir,3,"Entree 2 2 quai de la Tourelle, Cergy, Cergy-Pontoise, Val-d'Oise, Ile-de-France, France"
245,Le Soleil D Agadir,4,"6 route de Mons, Maubeuge, Nord, Hauts-de-France, France"
246,Hilal Box - Agadir,4.5,"N31, Imm 19, Residence Darna, Adrar, Agadir, Souss-Massa, Morocco"
247,O de l'Ha,4,"12 Boulevard Tawada, Agadir, Souss-Massa, Morocco"
248,KongFood,3,"Agadir, Souss-Massa, Morocco"
249,Chez Maxim,4,"Tifnit, Tifnit, Souss-Massa, Morocco"
250,TalhaMar,4,"Dakhla, Dakhla-Oued Ed Dahab, Morocco"
251,Le Palais Du Jardin,4,"5 Baie des Palmiers Cite Founty P, Imouzzer des Ida Outanane, Souss-Massa, Morocco"
252,Panorama Restaurant,4,"Panorama street, Taghazout, Souss-Massa, Morocco"
253,Restaurant Pieds D'ans l'Eau Imiouadar,4,"Plage Imiouadar, Imi Ouaddar, Souss-Massa, Morocco"
254,Cafe Restaurant TANIT,3.5,"KM 12 Route d'Essaouia, Aourir, Souss-Massa, Morocco"
255,Lehem Erez - Netanya Shoho,3,"Rehov Maffi 5, Netanya, Central District, Israel"
256,La Grande Table D'agadir Officiel,5,"Hotel Riu Zanzibar, Agadir, Souss-Massa, Morocco"
257,L'Etoile d' Agadir,4.5,"32 rue du Tan, Meaux, Seine-et-Marne, Ile-de-France, France"
258,Bar Nuevo Agadir,4.5,"Lugar Muelle Marina numero 13, Isla Cristina, Costa de la Luz, Andalucia, Spain"
259,Estrella De Agadir,5,"Avenida Nabeul 10, Marbella, Costa del Sol, Province of Malaga, Andalucia, Spain"
260,Agadir,4.5,"Umm Al Nar, Abu Dhabi, Emirate of Abu Dhabi, United Arab Emirates"
261,Restaurant alf lila ou lila agadir,4,"2 Rue des Souks, Agadir 80000, Agadir, Souss-Massa, Morocco"
262,La Tour d'Agadir,4,"126 rue Charles de Gaulle, Mormant, Seine-et-Marne, Ile-de-France, France"
263,etoile d'Agadir,4,"14 rue des 3 Freres le Goff, Saint-Brieuc, Cotes-d'Armor, Brittany, France"
264,Agadir Burger - Petah Tikva,2.5,"Rehov Shaham 30, Petah Tiqwa, Central District, Israel"
265,L'Auberge d'Agadir,4,"26 Avenue de la Gare, Gournay-en-Bray, Seine-Maritime, Haute-Normandie, Normandy, France"
266,Haveli Restaurant Agadir,2.5,"Rue DE LA Foire, Agadir, Souss-Massa, Morocco"
267,Agadir Burger - Bnei Brak Kosher,3,"Rehov Metsada 7, BSR Tower 4, Bnei Brak, Tel Aviv District, Israel"
268,Le Tsar Agadir,5,"F2 Bloc F Coplexe Tivoli, Boulevard Du 20 Aout, Agadir, Souss-Massa, Morocco"
269,Blue Note Agadir,4,"Boulevard 20 Aout, Agadir, Souss-Massa, Morocco"
270,Le Palmier Bleu,4.5,"Douar Ait Soual, Tamraght, Agadir, Souss-Massa, Morocco"
271,Restaurant Happy Calamar,4.5,"Imi Ouaddar, Souss-Massa, Morocco"
272,Restaurant Riad le Lieu tiznit,4.5,"273 Impasse Issaoui, Rue Haddada, Tiznit, Souss-Massa, Morocco"
273,Le Corail - Chez Tarik,4.5,"23 Place Chrib Atay, Essaouira, Marrakech-Safi, Morocco"
274,Little Italy Marrakech,4.5,"48 Rue Mohamed El Beqal, Marrakech, Marrakech-Safi, Morocco"
275,Morimoto,4.5,"Km17, Route D'Essaouira, Taghazout, Souss-Massa, Morocco"
