,hotel name,mark,location
156,Riad Yamina 52,5,"52 Derb Jammaa, Marrakech, Marrakech-Safi, Morocco"
157,Art Place Hotel & Ryad,4.5,"Place Jemaa El Fna, Marrakech, Marrakech-Safi, Morocco"
158,Jnane Tamsna,4.5,"Douar Abiad, Marrakech, Marrakech-Safi, Morocco"
159,Riad Viva,4.5,"107 Derb Mbarek, Marrakech, Marrakech-Safi, Morocco"
160,Dar Akal,5,"32 Derb Lalla Azzouna, Marrakech, Marrakech-Safi, Morocco"
161,El Fenn,4.5,"Derb Moulay Abdullah Ben Hezzian, 2, Marrakech, Marrakech-Safi, Morocco"
162,Riad Slawi,5,"92 Derb Ahmed el Borj, Marrakech, Marrakech-Safi, Morocco"
163,Riad Andallaspa,5,"Rue Tihzrit, Marrakech, Marrakech-Safi, Morocco"
164,Dar Hanane,5,"9 Derb Lalla Azzouna, Marrakech, Marrakech-Safi, Morocco"
165,Hotel du Tresor,4.5,"77 Sidi Boulokat, Marrakech, Marrakech-Safi, Morocco"
166,Adam Park Marrakech Hotel & Spa,3.5,"Zone Touristique Agdal, Marrakech, Marrakech-Safi, Morocco"
167,Es Saadi Marrakech Resort Palace,4.5,"Rue Hafid Ibrahim, Marrakech, Marrakech-Safi, Morocco"
168,Riad Ambre et Epices,4.5,"89-90 Arset Aouzal, Marrakech, Marrakech-Safi, Morocco"
169,Riad Tamarrakecht,5,"132 Derb Aghrab Bab Aylen, Marrakech, Marrakech-Safi, Morocco"
170,Riad Pachavana,4.5,"172 Derb Lambsober, Marrakech, Marrakech-Safi, Morocco"
171,Hotel Marrakech le Semiramis,3,"Boulevard Abdelkrim Al Khattabi, Marrakech, Marrakech-Safi, Morocco"
172,Riad les Orangers d'Alilia Marrakech,5,"216 Rue Tadla, Derb Chtouka Marrakech-Medina, Marrakech, Marrakech-Safi, Morocco"
173,Riad Dar Oulhoum,5,"8 Db Kori Sidi Ben Slimane, Marrakech, Marrakech-Safi, Morocco"
174,Hotel Xaluca Dades,4.5,"Avda. Zone Touristique B.P, 138, Boumalne Dades, Souss-Massa, Morocco"
175,Hotel Atlas Asni,3.5,"Avenue Mohammed VI, Marrakech, Marrakech-Safi, Morocco"
176,Domaine Malika,5,"Km 58 Route D'Amizmiz Par Asni, Ouirgane, Marrakech-Safi, Morocco"
177,Riad Adika,5,"286 Derb Sidi Bouamar, Marrakech, Marrakech-Safi, Morocco"
178,Riad Dar Zaya,5,"60 derb El Hammam, Marrakech, Marrakech-Safi, Morocco"
179,Riad Papillon,4.5,"15 Derb Tizougarine, Marrakech, Marrakech-Safi, Morocco"
180,Riad La Terrasse des Oliviers,5,"79, Derb Derdouba, Marrakech, Marrakech-Safi, Morocco"
181,Marrakech Guesthouse,4.5,"5 Wessels Avenue, Bloemfontein, Free State, South Africa"
182,Riad Eden,4.5,"25, Derb Jdid, Marrakech, Marrakech-Safi, Morocco"
183,Riad Charlott',5,"Derb Sidi Ahmed Bennacer, Marrakech, Marrakech-Safi, Morocco"
184,Riad Sidi Omar,5,"Mouassine Derb Snan N 85, Marrakech, Marrakech-Safi, Morocco"
185,Riad Dar Sohane,5,"28 Derb Jamaa, Marrakech, Marrakech-Safi, Morocco"
186,Riad Awa,4.5,"6 Derb El Hajra Kasbah, Marrakech, Marrakech-Safi, Morocco"
187,Dar Sholmes,5,"82 Derb Sidi M'Barek, Marrakech, Marrakech-Safi, Morocco"
188,Riad Al Nour,5,"7, Derb Haj Housseine, Marrakech, Marrakech-Safi, Morocco"
189,Dar Tasnime,5,"27 Jbel Lakhdar, Marrakech, Marrakech-Safi, Morocco"
190,Riad Bamaga Hotel,5,"86, derb Sidi Bouamar, Marrakech, Marrakech-Safi, Morocco"
191,Dar Taliwint,5,"26, rue de La Bahia, Marrakech, Marrakech-Safi, Morocco"
192,Riad Bledna,5,"Douar Arbi Ben Bouzi, C.R. Oulad Hassoun, Marrakech, Marrakech-Safi, Morocco"
193,Riad Anjar,4.5,"4 Derb Snane, Marrakech, Marrakech-Safi, Morocco"
194,Les Jardins Mandaline,4.5,"55, Derb Ferrane, Marrakech, Marrakech-Safi, Morocco"
195,Riad Ker Saada,5,"28 derb el Arsa, Marrakech, Marrakech-Safi, Morocco"
196,Riad Noor Charana,4.5,"31 Derb El Kbir Ben Saleh, Marrakech, Marrakech-Safi, Morocco"
197,Ibis Marrakech Centre Gare,3.5,"Avenue Hassan II, Marrakech, Marrakech-Safi, Morocco"
198,Riad Al Rimal,4.5,"43 Derb Fahl Ezzafriti, Marrakech, Marrakech-Safi, Morocco"
199,Riad Shemsi,5,"194 Derb Chtouka, Marrakech, Marrakech-Safi, Morocco"
200,Jnane Mogador,4,"116 Riad Zitoune Kedim, Marrakech, Marrakech-Safi, Morocco"
201,Rose Garden Resort & Spa,3.5,"Ouaha Sidi Brahim 1, Marrakech, Marrakech-Safi, Morocco"
202,Darhani,5,"32 Derb Waihah, Marrakech, Marrakech-Safi, Morocco"
203,Tigmi,4.5,"Douar Tagadert el Kaldi, Oumnass, Marrakech-Safi, Morocco"
204,Riad La Porte Rouge,4.5,"48 Derb Jamaa, Marrakech, Marrakech-Safi, Morocco"
205,Riad Ariha,4.5,"90, Derb Ahmed Elborj - Sidi Ben, Marrakech, Marrakech-Safi, Morocco"
206,Riad Sable Chaud,5,"135 Derb Jdid, Marrakech, Marrakech-Safi, Morocco"
